wind_code,date,time,index,function_code,order_kind,bs_flag,trade_price,trade_volume,ask_order,bid_order
000629.SZ,20200327,93145530,1183589,0,0,B,22600,200,921805,1183588
000629.SZ,20200327,93145560,1183683,C,0,0,0,1000,1076769,0
000629.SZ,20200327,93155630,1224372,0,0,S,22500,800,1224371,12202
000629.SZ,20200327,93202170,1251397,C,0,0,0,200,0,1177856
000629.SZ,20200327,93203380,1256287,0,0,B,22600,400,921805,1256286
000629.SZ,20200327,93208540,1277604,C,0,0,0,5000,946365,0
000629.SZ,20200327,93208850,1278615,C,0,0,0,23100,199320,0
000629.SZ,20200327,93209440,1280534,0,0,S,22500,6400,1280533,12202
000629.SZ,20200327,93217790,1312169,C,0,0,0,5000,825839,0
000629.SZ,20200327,93217950,1312650,0,0,S,22500,11200,1312649,12202
000629.SZ,20200327,93217950,1312651,0,0,S,22500,2300,1312649,17936
000629.SZ,20200327,93217960,1312667,0,0,S,22500,15500,1312666,17936
000629.SZ,20200327,93225960,1342740,C,0,0,0,25500,631607,0
000629.SZ,20200327,93230520,1358765,C,0,0,0,2000,947938,0
000629.SZ,20200327,93231700,1363668,0,0,S,22500,7000,1363667,17936
000629.SZ,20200327,93231700,1363669,0,0,S,22500,13400,1363667,17945
000629.SZ,20200327,93231700,1363670,0,0,S,22500,4900,1363667,73764
000629.SZ,20200327,93231700,1363671,0,0,S,22500,200,1363667,84597
000629.SZ,20200327,93232770,1366924,C,0,0,0,17800,467596,0
000629.SZ,20200327,93234010,1371220,C,0,0,0,1000,0,211830
000629.SZ,20200327,93234510,1373382,C,0,0,0,1400,0,977960
000629.SZ,20200327,93239630,1391431,0,0,B,22600,100,921805,1391430
000629.SZ,20200327,93241320,1397373,0,0,S,22500,15300,1397372,84597
000629.SZ,20200327,93241320,1397374,0,0,S,22500,300,1397372,114154
000629.SZ,20200327,93241320,1397375,0,0,S,22500,3000,1397372,114378
000629.SZ,20200327,93241320,1397376,0,0,S,22500,11400,1397372,148926
000629.SZ,20200327,93241320,1397377,0,0,S,22500,2000,1397372,162123
000629.SZ,20200327,93241320,1397378,0,0,S,22500,3000,1397372,181987
000629.SZ,20200327,93241320,1397379,0,0,S,22500,4500,1397372,185170
000629.SZ,20200327,93241320,1397380,0,0,S,22500,5000,1397372,186264
000629.SZ,20200327,93241320,1397381,0,0,S,22500,2300,1397372,199247
000629.SZ,20200327,93241320,1397382,0,0,S,22500,10000,1397372,204323
000629.SZ,20200327,93241320,1397383,0,0,S,22500,10000,1397372,217204
000629.SZ,20200327,93241320,1397384,0,0,S,22500,10000,1397372,228207
000629.SZ,20200327,93241320,1397385,0,0,S,22500,9000,1397372,233821
000629.SZ,20200327,93241320,1397386,0,0,S,22500,11400,1397372,244353
000629.SZ,20200327,93241320,1397387,0,0,S,22500,5000,1397372,261967
000629.SZ,20200327,93241320,1397388,0,0,S,22500,12100,1397372,453795
000629.SZ,20200327,93241320,1397389,0,0,S,22500,11600,1397372,454230
000629.SZ,20200327,93241320,1397390,0,0,S,22500,300,1397372,470001
000629.SZ,20200327,93241320,1397391,0,0,S,22500,2500,1397372,500602
000629.SZ,20200327,93241320,1397392,0,0,S,22500,10000,1397372,506582
000629.SZ,20200327,93241320,1397393,0,0,S,22500,2200,1397372,536648
000629.SZ,20200327,93241320,1397394,0,0,S,22500,1000,1397372,578296
000629.SZ,20200327,93241320,1397395,0,0,S,22500,700,1397372,597864
000629.SZ,20200327,93241320,1397396,0,0,S,22500,3700,1397372,599427
000629.SZ,20200327,93241320,1397397,0,0,S,22500,2800,1397372,626172
000629.SZ,20200327,93241320,1397398,0,0,S,22500,10300,1397372,628100
000629.SZ,20200327,93241320,1397399,0,0,S,22500,100,1397372,811612
000629.SZ,20200327,93241320,1397400,0,0,S,22500,8900,1397372,939361
000629.SZ,20200327,93241320,1397401,0,0,S,22500,2200,1397372,971003
000629.SZ,20200327,93241320,1397402,0,0,S,22500,3000,1397372,1007483
000629.SZ,20200327,93241320,1397403,0,0,S,22500,10000,1397372,1046890
000629.SZ,20200327,93241320,1397404,0,0,S,22500,9300,1397372,1088785
000629.SZ,20200327,93241320,1397405,0,0,S,22500,100,1397372,1108869
000629.SZ,20200327,93241320,1397406,0,0,S,22500,6000,1397372,1118184
