,time,order,order_kind,function_code,order_price,order_volume
1280,93051640,924728,0,S,22600,40000
1281,93052010,927088,0,S,22600,144200
1282,93052390,929720,0,S,22900,20000
1283,93053020,932567,0,S,22600,400
1284,93053450,934374,0,S,23100,47600
1285,93053740,935540,0,S,23000,10000
1286,93054660,939361,0,B,22500,8900
1287,93054720,939714,0,S,22600,2100
1288,93054730,939727,0,S,22600,1300
1289,93055040,941690,0,S,24700,1000
1290,93055660,945606,0,S,23100,6000
1291,93055810,946365,0,S,22600,5000
1292,93056160,947938,0,S,22600,2000
1293,93057670,954690,0,S,22600,22800
1294,93059540,965222,0,S,22700,10000
1295,93059560,965330,0,S,24700,1000
1296,93100110,967932,0,S,22700,72600
1297,93100590,971003,0,B,22500,2200
1298,93100830,973071,0,S,22600,10000
1299,93100920,974073,0,S,22600,10000
1300,93101330,977960,0,B,22500,1400
1301,93102830,986036,0,S,22600,143300
1302,93102960,986670,0,B,22700,1000
1303,93103490,989349,0,S,23300,11000
1304,93104070,993831,0,S,22600,1000
1305,93104810,998895,0,S,23200,1100
1306,93104830,998956,0,B,22100,10000
1307,93106470,1006196,0,S,23000,2000
1308,93106700,1007483,0,B,22500,3000
1309,93106780,1008048,0,S,22800,3300
1310,93107930,1015193,0,S,22600,20000
1311,93108150,1016093,0,S,24800,21300
1312,93109000,1019874,0,S,22700,900
1313,93111220,1032268,0,S,22700,4100
1314,93111370,1033031,0,S,23400,2600
1315,93111950,1035627,1,S,0,1100
1316,93112700,1038967,0,S,22600,4000
1317,93113970,1046890,0,B,22500,10000
1318,93114350,1048595,0,S,24800,8400
1319,93115070,1051501,0,S,22600,3000
1320,93118950,1070707,0,S,22800,4200
1321,93119920,1075670,0,S,23000,20000
1322,93120210,1076738,0,S,22700,5000
1323,93120220,1076769,0,S,23000,1000
1324,93120280,1076964,0,B,22000,1500
1325,93120660,1078376,0,S,24800,2000
1326,93121590,1082034,0,S,22600,50000
1327,93122790,1088785,0,B,22500,9300
1328,93123040,1089757,0,S,23700,3800
1329,93123590,1091988,0,S,23600,800
1330,93124690,1096381,0,S,23500,3400
1331,93125430,1100650,0,S,22700,4000
1332,93125660,1101787,0,B,22000,4000
1333,93126150,1103649,0,B,21900,5100
1334,93126560,1105047,0,S,23500,17000
1335,93126990,1106489,0,B,22300,7100
1336,93127640,1108869,0,B,22500,100
1337,93127930,1110470,0,S,24800,1000
1338,93128530,1113619,0,S,22500,10000
1339,93128580,1113834,0,S,23400,4900
1340,93129050,1115608,0,S,22700,5000
1341,93129720,1118184,0,B,22500,6000
1342,93129800,1118453,0,S,22600,25000
1343,93129920,1118871,0,S,22500,10000
1344,93131170,1124317,0,B,22400,7800
1345,93131350,1125263,0,S,22600,1000
1346,93131380,1125461,0,B,22500,41300
1347,93132060,1128218,0,S,23500,5000
1348,93132130,1128534,0,B,22600,9100
1349,93135900,1143902,0,B,22500,2000
1350,93137020,1148718,0,B,22400,10000
1351,93137910,1152901,0,S,23000,500
1352,93138320,1154328,0,B,22500,1600
1353,93138650,1155528,0,B,22500,1900
1354,93139280,1157623,0,B,22400,5000
1355,93139600,1158725,0,B,22500,11700
1356,93139660,1158946,0,B,22500,5000
1357,93139960,1160340,0,S,22900,1000
1358,93140550,1163954,0,B,22500,3300
1359,93141490,1167321,0,S,24000,6400
1360,93141800,1168425,0,B,22000,6600
1361,93142340,1170369,0,S,22600,2000
1362,93143540,1176256,0,S,22600,4700
1363,93143710,1177028,0,S,22800,10000
1364,93143950,1177856,0,B,22400,200
1365,93144070,1178282,0,S,22500,500
1366,93145100,1181995,0,S,22800,2000
1367,93145380,1183018,0,B,22600,1000
1368,93145530,1183588,0,B,22600,200
1369,93145800,1184852,0,S,22600,16100
1370,93146000,1185861,0,S,23500,40000
1371,93146010,1185912,0,S,22600,25100
1372,93146130,1186538,0,B,22500,10000
1373,93146470,1188351,0,S,22700,4600
1374,93148640,1195982,0,S,22600,10000
1375,93150780,1204207,0,B,22500,5400
1376,93151370,1206246,0,S,22800,8000
1377,93151860,1208284,0,S,22800,1000
1378,93152380,1211383,0,B,22400,20000
1379,93152610,1212474,0,S,24600,10000
1380,93152970,1213728,0,S,23900,10000
1381,93154080,1217652,0,B,22400,3000
1382,93154500,1219071,0,S,22700,20100
1383,93155010,1221358,0,S,23100,300
1384,93155140,1222028,0,B,22500,3000
1385,93155630,1224371,0,S,22500,800
1386,93155680,1224582,0,B,22400,2100
1387,93155740,1224788,0,B,22500,8800
1388,93156730,1227999,0,B,22500,10000
1389,93156940,1228755,0,B,22500,2000
1390,93157560,1230988,0,S,22600,1000
1391,93157840,1232253,0,S,22600,500
1392,93157890,1232491,0,S,22600,900
1393,93158800,1236831,0,S,22600,800
1394,93158830,1236946,0,S,22900,1000
1395,93159020,1237600,0,S,22600,500
1396,93159470,1239175,0,S,22600,2300
1397,93159490,1239256,0,S,22600,10000
1398,93200410,1242794,0,B,22400,5000
1399,93201450,1248645,0,B,22500,5000
1400,93202270,1251853,0,S,23500,3000
1401,93202430,1252568,0,S,22600,9400
1402,93203030,1254837,0,B,22500,100
1403,93203380,1256286,0,B,22600,400
1404,93203440,1256533,0,S,22900,400
1405,93205160,1264236,0,S,24800,4000
1406,93206730,1270376,0,S,22600,31000
1407,93206870,1270973,0,S,23100,8000
1408,93208440,1277285,0,S,24700,16000
1409,93208770,1278267,0,S,23000,2000
1410,93208830,1278535,0,S,23000,5800
1411,93209440,1280533,0,S,22500,6400
1412,93210050,1282984,0,B,22500,2000
1413,93210140,1283385,0,S,22700,21800
1414,93210530,1285170,0,S,22600,5000
1415,93211120,1287079,0,B,22300,10000
1416,93211680,1288736,0,S,22600,5300
1417,93212970,1293855,0,B,22200,200
1418,93214460,1299958,0,B,22400,10000
1419,93215070,1301917,0,B,22100,40100
1420,93216250,1306658,0,B,22500,2300
1421,93216890,1309211,0,S,22700,600
1422,93217090,1309892,0,S,24800,24800
1423,93217710,1311946,0,S,23200,40600
1424,93217950,1312649,0,S,22500,13500
1425,93217960,1312666,0,S,22500,15500
1426,93220090,1321035,0,S,23000,4000
1427,93220280,1321712,0,B,22500,6000
1428,93220370,1322035,0,S,22800,1000
1429,93220900,1323869,0,B,22500,6000
1430,93221240,1325038,0,S,22600,9600
1431,93221510,1325983,0,B,22400,12000
1432,93221590,1326316,0,B,22300,9600
1433,93221770,1326983,0,B,22500,10000
1434,93222280,1329307,0,S,22600,80000
1435,93222560,1330403,0,B,22500,10000
1436,93223210,1332502,0,S,23100,10000
1437,93223470,1333401,0,B,22400,10000
1438,93224120,1335285,0,B,21000,100
1439,93225410,1340822,0,S,22700,23100
1440,93225980,1342785,0,S,22800,5000
1441,93226210,1343531,0,B,22500,3000
1442,93226500,1344503,0,S,24800,3200
1443,93227480,1347835,0,S,23500,8500
1444,93228000,1350256,0,B,22500,500
1445,93229680,1355939,0,B,22500,1000
1446,93230080,1357195,0,B,22300,6600
1447,93230120,1357314,0,B,22400,100000
1448,93231700,1363667,0,S,22500,25500
1449,93231790,1363944,0,S,22900,2000
1450,93231910,1364367,0,B,22500,1000
1451,93233000,1367617,0,S,23300,5000
1452,93233320,1368598,0,S,22600,20000
1453,93234440,1373159,0,S,24800,25000
